customerID,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,monthlycharges_per_tenure,has_internet_service,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
7590-VHVEG,False,-1.2774445836787656,-1.1603229160349193,-0.9949713816319787,0,14.925,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
5575-GNVDE,False,0.06632741908223598,-0.2596289419448806,-0.1738756538019684,0,1.6271428571428572,1,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
3668-QPYBK,False,-1.2367242199587352,-0.3626603559551803,-0.9603993947048204,1,17.95,1,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
7795-CFOCW,False,0.5142514200025698,-0.7465354629935549,-0.19540035830642513,0,0.9195652173913043,1,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
9237-HQITU,False,-1.2367242199587352,0.19736523310080326,-0.9411927353008436,1,23.566666666666666,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
9305-CDSKC,False,-0.9924020376385531,1.1595456961969886,-0.645873789499697,1,11.072222222222223,1,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False
1452-KIOVK,False,-0.4223169455581282,0.8089065291619363,-0.14742786303649225,0,3.8739130434782605,1,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False
6713-OKOMC,False,-0.9109613101984924,-1.1636465100352518,-0.8748524921871077,0,2.7045454545454546,1,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7892-POOKP,False,-0.1779947632379461,1.330710787214099,0.3367786435237642,1,3.613793103448276,1,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False
6388-TABGU,False,1.2064976032430856,-0.28621769394753876,0.5318918111241627,0,0.8912698412698412,1,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
9763-GRSKD,False,-0.7888002190384014,-0.4922805219681379,-0.7487729153410025,0,3.567857142857143,1,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
7469-LKBCI,False,-0.6666391278783103,-1.5225946620711341,-0.8638583354248314,0,1.1147058823529412,0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False
8091-TTVAX,False,1.0436161483629645,1.182810854199314,1.5002385943846621,0,1.7008474576271186,1,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False
0280-XJGEX,False,0.6771328748826912,1.2941512532104444,1.215538502805714,1,2.074,1,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False
5129-JLPIS,False,-0.30015585439803716,1.3539759452164248,0.17782697949085274,0,4.0576923076923075,1,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False
3655-SNQYZ,False,1.4915401492832983,1.611554480242174,2.4778134048070717,0,1.6178571428571429,1,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
8191-XWSZG,False,0.7992939660427822,-1.4660935640654862,-0.5564855551011889,0,0.38962264150943393,0,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True
9959-WOFKT,False,1.5729808767233588,1.393859073220412,2.251351436800182,0,1.4819444444444445,1,True,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False
4190-MFLUW,False,-0.9109613101984924,-0.31779183695069496,-0.7748674801864056,1,5.0181818181818185,1,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
4183-MYFRB,False,-0.46303730927815856,0.8404806721650927,-0.18562041564440013,0,4.093181818181818,1,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False
8779-QRDMV,True,-1.2774445836787656,-0.8346107040023594,-0.9906443641110827,1,19.825,1,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
1680-VDCWW,False,-0.8295205827584317,-1.4943441130683104,-0.9188511958562178,0,1.5230769230769232,0,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False
1066-JKSGK,False,-1.2774445836787656,-1.4827115340671475,-0.9992542459128654,1,10.075,0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
3638-WEABW,False,1.0436161483629645,-0.1615829189350795,0.5394640917857306,0,1.0152542372881355,1,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False
6322-HRPFA,False,0.6771328748826912,-0.17155370093607614,0.3033325642168391,0,1.192,1,True,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
6865-JZNKO,False,-0.0965540357978854,-0.31446824295036285,-0.3323416321947793,0,1.7838709677419353,1,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
6467-CHFZW,False,0.5956921474426305,1.1495749141959914,1.0887524741194623,1,2.0697916666666667,1,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False
8665-UTDHZ,False,-1.2774445836787656,-1.1486903370337564,-0.9948168452919468,1,15.1,1,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
5248-YGIJN,False,1.6137012404433893,0.8471278601657574,1.8041674219875912,0,1.2363013698630136,1,True,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False
8773-HHUOZ,False,-0.62591876415828,-0.0020504069191315333,-0.5255120572347758,1,3.5944444444444446,1,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True
3841-NFECX,True,1.5729808767233588,1.0498670941860242,1.979676551023931,0,1.3381944444444445,1,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,False,False
4929-XIHVW,True,-1.2367242199587352,1.0216165451832002,-0.927946763298101,0,31.833333333333332,1,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False
6827-IEAUQ,False,-0.21871512695797646,0.046141706085686136,-0.18052071642334425,0,2.3625000000000003,1,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True
7310-EGVHZ,False,-1.2774445836787656,-1.481049737066981,-0.999232169292861,0,10.1,0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False
3413-BMNZE,True,-1.2774445836787656,-0.6484894399837535,-0.9881717826705708,0,22.625,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6234-RAAPL,False,1.6137012404433893,1.1678546811978192,2.193709381968247,0,1.3684931506849316,1,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False
6047-YHPVI,False,-1.1145631287986442,0.16412929309748078,-0.8682295061857364,1,11.616666666666667,1,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
6572-ADKRS,False,0.5549717837226001,0.33363258711442517,0.5585382914696801,0,1.5914893617021275,1,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
5380-WJKOV,False,0.06632741908223598,1.3822264942192488,0.5589577472497669,1,3.0385714285714283,1,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False
8168-UQWWF,False,-0.8702409464784621,1.099721004191008,-0.5200812087136513,1,8.154166666666667,1,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False
8865-TNMNX,False,-0.9109613101984924,-0.5055748979694671,-0.7981141610512188,0,4.504545454545454,1,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
9489-DEDVP,False,1.5322605130033284,0.14751132309581955,1.1431492658107256,0,0.9746478873239437,1,False,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,False
9867-JCZSP,False,-0.62591876415828,-1.462769970065154,-0.8234801974364709,0,1.1527777777777777,0,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True
4671-VJLCL,False,1.247217966963116,0.5014740841312035,1.1383365626497288,0,1.24765625,1,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,True,False,False
4080-IIARD,False,-0.7888002190384014,0.3801629031190768,-0.5748091497049829,0,5.442857142857143,1,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False
3714-NTNFO,False,0.6771328748826912,0.6560212051466532,0.7167835036624451,0,1.69,1,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
5948-UJZLF,False,-1.2367242199587352,-0.5155456799704636,-0.9653224809658398,0,16.416666666666668,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7760-OYPDY,False,-1.2367242199587352,0.5280628361338618,-0.9445042283015292,1,26.883333333333336,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
7639-LIAYI,False,0.7992939660427822,0.4981504901308714,0.8541442333308862,0,1.5047169811320755,1,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
2954-PIBKO,False,1.4915401492832983,-0.020330173920958795,0.8701718594542048,0,0.9164285714285715,1,False,True,True,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False
8012-SOUDQ,True,0.43281069256250915,0.8471278601657574,0.6867813770762332,0,2.0511363636363638,1,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False
9420-LOJKX,False,-0.7073594915983407,1.141265929195161,-0.37834930828430524,1,6.19375,1,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False
6575-SUVOI,True,-0.30015585439803716,0.1574821050968162,-0.23429936275447927,0,2.673076923076923,1,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False
7495-OOKFY,True,-0.9924020376385531,0.5280628361338618,-0.728528654796811,1,8.961111111111112,1,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
4667-QONEA,True,1.125056875803025,0.33529438411459117,0.9594717873726947,0,1.2270491803278687,1,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,True,False,False
1658-BYGOY,True,-0.5851984004382496,1.0199547481830342,-0.23434351599448847,1,5.023684210526316,1,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False
8769-KKTPH,False,1.247217966963116,1.1595456961969886,1.7784481596822659,0,1.55703125,1,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False
5067-XJQFU,True,1.369379058123207,1.4520219682262263,2.1162866756122165,0,1.6186567164179104,1,True,True,True,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False
3957-SQXML,False,0.06632741908223598,-1.3231790220511994,-0.6132886983729502,0,0.7128571428571429,0,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False
5954-BDFSG,False,1.6137012404433893,1.42044782522307,2.4595118868232824,0,1.4726027397260273,1,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,False
0434-CSFON,False,0.5956921474426305,1.1877962451998125,1.0701860366956184,0,2.09375,1,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False
1215-FIGMP,False,1.125056875803025,0.8354952811645946,1.3985095294035985,0,1.4737704918032788,1,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
0526-SXDJP,False,1.6137012404433893,-0.7531826509942192,0.2996678452960802,0,0.5767123287671233,1,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
0557-ASKVU,False,-0.5851984004382496,-0.34438058895335305,-0.5855604636472089,0,2.863157894736842,1,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False
5698-BQJOH,False,-0.9516816739185228,0.9850570111795457,-0.6296474737963372,1,9.440000000000001,1,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
5122-CYFXA,False,-1.1960038562387048,0.3502505571160864,-0.9003730649123919,0,18.825,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False
8627-ZYGSZ,False,0.5956921474426305,0.46989994112804756,0.6035966728990095,0,1.64375,1,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False
3410-YOQBQ,False,-0.055833672077855064,0.47987072312904416,0.09444358573358781,0,2.475,1,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
3170-NMYVV,False,0.7178532386027215,-1.4827115340671475,-0.5971286125296041,0,0.39509803921568626,0,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False
7410-OIEDU,False,-0.9109613101984924,0.5014740841312035,-0.6163573485535856,0,7.259090909090909,1,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2273-QCKXA,False,-1.2774445836787656,-0.5221928679711283,-0.9864939595502233,0,24.525,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
0731-EBJQB,False,0.7992939660427822,-1.4744025490663168,-0.5265938116149996,0,0.38490566037735846,0,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
1891-QRQSA,True,1.2879383306831464,1.5567151792366918,2.126287384474287,0,1.7169230769230768,1,True,True,True,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False
8028-PNXHQ,False,1.2064976032430856,-1.3464441800535252,-0.37914406660446986,0,0.38492063492063494,0,True,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False
5630-AHZIL,False,-1.1960038562387048,-0.00869759491979612,-0.9298232759984896,0,16.125,1,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
2673-CXQEU,True,0.9621754209229036,1.5201556452330371,1.702637046586569,0,1.9385964912280702,1,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False,True,False
6416-JNVRK,False,0.5549717837226001,-0.3028356639492,0.1790632702111086,0,1.1840425531914893,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False
5590-ZSKRV,False,-0.9924020376385531,-0.33607160395252245,-0.79522212383062,0,6.072222222222222,1,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0191-ZHSKZ,True,-0.0965540357978854,0.3319707901142591,-0.07594376746169122,0,2.411290322580645,1,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False
3887-PBQAO,False,0.5142514200025698,-1.2916048790480432,-0.47098280582348534,0,0.5630434782608695,0,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
5919-TMRGD,False,-1.2774445836787656,0.48485611412954227,-0.9731155278274534,1,39.675,1,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
8108-UXRQN,False,-0.8702409464784621,-0.47233895796614456,-0.758530781383023,0,4.2124999999999995,1,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
9191-MYQKX,False,-1.0331224013585834,0.34526516611558833,-0.7887536741692807,1,9.39375,1,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
9919-YLNNG,False,0.3920903288424788,1.2974748472107767,0.9025803376209149,0,2.413953488372093,1,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0318-ZOPWS,False,0.6771328748826912,-1.4827115340671475,-0.5783855621457233,0,0.40299999999999997,0,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False
4445-ZJNMU,False,-0.9516816739185228,1.1479131171958254,-0.602493231190715,0,9.93,1,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False
